match_id,division,match_date,section,team,player,goals,goal_minutes,source_url,note
2025_D1_m44,1部,2025-09-23,第11節,INAC白岡SCレディース,清水若葉,1,57分,https://u15.kantolsl.com/2025/div1/m44,
2025_D1_m44,1部,2025-09-23,第11節,横須賀シーガルズMEG,オウンゴール,1,82分,https://u15.kantolsl.com/2025/div1/m44,
2025_D1_m46,1部,2025-10-05,第12節,三菱重工浦和レッズレディースジュニアユース,徳生花音,2,5分|20分,https://u15.kantolsl.com/2025/div1/m46,
2025_D1_m46,1部,2025-10-05,第12節,三菱重工浦和レッズレディースジュニアユース,増田彩衣里,1,3分,https://u15.kantolsl.com/2025/div1/m46,
2025_D1_m46,1部,2025-10-05,第12節,三菱重工浦和レッズレディースジュニアユース,片岡菜葉,1,35分,https://u15.kantolsl.com/2025/div1/m46,
2025_D1_m46,1部,2025-10-05,第12節,三菱重工浦和レッズレディースジュニアユース,薬袋胡乃花,1,67分,https://u15.kantolsl.com/2025/div1/m46,
2025_D1_m47,1部,2025-10-05,第12節,ノジマステラ神奈川相模原アヴェニーレ,平山樹歩,1,20分,https://u15.kantolsl.com/2025/div1/m47,
2025_D1_m47,1部,2025-10-05,第12節,横須賀シーガルズMEG,柴田結月,1,9分,https://u15.kantolsl.com/2025/div1/m47,
2025_D1_m48,1部,2025-10-04,第12節,小美玉フットボールアカデミー,寺門絢音,1,12分,https://u15.kantolsl.com/2025/div1/m48,team_heading_not_in_match:小美玉フットボールアカデミー
2025_D1_m49,1部,2025-10-13,第13節,ジェフユナイテッド市原・千葉レディースU-15,平野笑帆,1,12分,https://u15.kantolsl.com/2025/div1/m49,
2025_D1_m49,1部,2025-10-13,第13節,ジェフユナイテッド市原・千葉レディースU-15,吉川葵,1,38分,https://u15.kantolsl.com/2025/div1/m49,
2025_D1_m49,1部,2025-10-13,第13節,ジェフユナイテッド市原・千葉レディースU-15,小峯虹,1,71分,https://u15.kantolsl.com/2025/div1/m49,
2025_D1_m49,1部,2025-10-13,第13節,ジェフユナイテッド市原・千葉レディースU-15,オウンゴール,1,7分,https://u15.kantolsl.com/2025/div1/m49,
2025_D1_m50,1部,2025-10-11,第13節,三菱重工浦和レッズレディースジュニアユース,徳生花音,1,41分,https://u15.kantolsl.com/2025/div1/m50,
2025_D1_m50,1部,2025-10-11,第13節,三菱重工浦和レッズレディースジュニアユース,浅野伶央,1,49分,https://u15.kantolsl.com/2025/div1/m50,
2025_D1_m50,1部,2025-10-11,第13節,三菱重工浦和レッズレディースジュニアユース,仙石みのり,1,60分,https://u15.kantolsl.com/2025/div1/m50,
2025_D1_m50,1部,2025-10-11,第13節,三菱重工浦和レッズレディースジュニアユース,片岡菜葉,1,69分,https://u15.kantolsl.com/2025/div1/m50,
2025_D1_m51,1部,2025-10-11,第13節,VONDS市原FCレディ－スU-15,田中葉色,1,10分,https://u15.kantolsl.com/2025/div1/m51,
2025_D1_m51,1部,2025-10-11,第13節,VONDS市原FCレディ－スU-15,柴田麗衣,1,29分,https://u15.kantolsl.com/2025/div1/m51,
2025_D1_m51,1部,2025-10-11,第13節,VONDS市原FCレディ－スU-15,中嶋鈴,1,36分,https://u15.kantolsl.com/2025/div1/m51,
2025_D1_m51,1部,2025-10-11,第13節,VONDS市原FCレディ－スU-15,長谷莉衣菜,1,48分,https://u15.kantolsl.com/2025/div1/m51,
