year,division,match_id,url_key,source_url,match_date,kickoff,section,home_team,away_team,home_score,away_score,venue,status,fetched_at,source_type,discovered_from,note
2025,2部,2025_D2_m12,m12,https://u15.kantolsl.com/2025/div2/m12,2025-04-20,17:00,第3節,湘南ベルマーレU-15ガールズ,スフィーダ世田谷FCユース,3,1,柳島スポーツ公園 総合競技場,played,2026-05-18T09:17:47+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m13,m13,https://u15.kantolsl.com/2025/div2/m13,2025-05-11,14:15,第4節,ザスパ群馬レディースU-15,INAC千葉CRAVO FC,0,5,GCCザスパーク,played,2026-05-18T09:17:47+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m14,m14,https://u15.kantolsl.com/2025/div2/m14,2025-05-10,13:00,第4節,TRAUM SVレディースU-15,十文字中学校,0,16,壬生町総合運動公園 陸上競技場,played,2026-05-18T09:17:48+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m15,m15,https://u15.kantolsl.com/2025/div2/m15,2025-05-11,13:15,第4節,湘南ベルマーレU-15ガールズ,栃木SCレディース,1,0,中井中央公園 多目的広場,played,2026-05-18T09:17:48+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m16,m16,https://u15.kantolsl.com/2025/div2/m16,2025-05-11,18:40,第4節,東 RB大宮アルディージャWOMEN U15,スフィーダ世田谷FCユース,3,0,SFAフットボールセンタ,played,2026-05-18T09:17:49+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m17,m17,https://u15.kantolsl.com/2025/div2/m17,2025-05-18,13:00,第5節,INAC千葉CRAVO FC,スフィーダ世田谷FCユース,3,4,あけぼの山農業公園 芝生広場,played,2026-05-18T09:17:49+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m18,m18,https://u15.kantolsl.com/2025/div2/m18,2025-05-18,13:00,第5節,十文字中学校,栃木SCレディース,3,2,十文字学園女子大学 サッカーグラウンド,played,2026-05-18T09:17:50+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m19,m19,https://u15.kantolsl.com/2025/div2/m19,2025-05-18,14:15,第5節,ザスパ群馬レディースU-15,RB大宮アルディージャWOMEN U15,2,1,GCCザスパーク,played,2026-05-18T09:17:50+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m20,m20,https://u15.kantolsl.com/2025/div2/m20,2025-05-18,13:00,第5節,TRAUM SVレディースU-15,湘南ベルマーレU-15ガールズ,0,26,とちぎフットボールセンタ,played,2026-05-18T09:17:51+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m21,m21,https://u15.kantolsl.com/2025/div2/m21,2025-06-01,14:00,第6節,INAC千葉CRAVO FC,栃木SCレディース,3,0,あけぼの山農業公園 芝生広場,played,2026-05-18T09:17:51+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m22,m22,https://u15.kantolsl.com/2025/div2/m22,2025-06-01,09:00,第6節,スフィーダ世田谷FCユース,十文字中学校,1,1,十文字学園女子大学 サッカーグラウンド,played,2026-05-18T09:17:52+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m23,m23,https://u15.kantolsl.com/2025/div2/m23,2025-06-01,17:00,第6節,湘南ベルマーレU-15ガールズ,ザスパ群馬レディースU-15,3,0,柳島スポーツ公園 総合競技場,played,2026-05-18T09:17:53+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m24,m24,https://u15.kantolsl.com/2025/div2/m24,2025-06-01,15:30,第6節,東 RB大宮アルディージャWOMEN U15,TRAUM SVレディースU-15,9,0,SFAフットボールセンタ,played,2026-05-18T09:17:53+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m25,m25,https://u15.kantolsl.com/2025/div2/m25,2025-06-08,13:00,第7節,INAC千葉CRAVO FC,十文字中学校,4,0,あけぼの山農業公園 芝生広場,played,2026-05-18T09:17:54+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m26,m26,https://u15.kantolsl.com/2025/div2/m26,2025-06-08,17:45,第7節,栃木SCレディース,スフィーダ世田谷FCユース,1,1,とちぎフットボールセンタ,played,2026-05-18T09:17:54+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m27,m27,https://u15.kantolsl.com/2025/div2/m27,2025-06-08,13:15,第7節,ザスパ群馬レディースU-15,TRAUM SVレディースU-15,6,1,GCCザスパーク,played,2026-05-18T09:17:55+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m28,m28,https://u15.kantolsl.com/2025/div2/m28,2025-06-07,18:00,第7節,RB大宮アルディージャWOMEN U15,湘南ベルマーレU-15ガールズ,1,3,レッズランド,played,2026-05-18T09:17:55+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m29,m29,https://u15.kantolsl.com/2025/div2/m29,2025-06-28,12:00,第8節,RB大宮アルディージャWOMEN U15,INAC千葉CRAVO FC,0,3,和光スポーツアイランド サッカー場,played,2026-05-18T09:17:56+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m30,m30,https://u15.kantolsl.com/2025/div2/m30,2025-06-29,16:50,第8節,湘南ベルマーレU-15ガールズ,十文字中学校,0,0,柳島スポーツ公園 総合競技場,played,2026-05-18T09:17:57+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
2025,2部,2025_D2_m31,m31,https://u15.kantolsl.com/2025/div2/m31,2025-06-28,15:00,第8節,TRAUM SVレディースU-15,栃木SCレディース,0,13,壬生町総合運動公園 陸上競技場,played,2026-05-18T09:17:57+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
